# ID SN_Type SN_RA SN_Dec Redshift Kind_z Host_Name Host_RA Host_Dec vflag rmag AbsMag
182 Candidate 109.86412499999999 47.53883333333333 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
183 Candidate 224.14199999999997 57.01316666666666 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
184 Candidate 224.50454166666665 63.45852777777778 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
185 Candidate 270.7303333333333 69.25825 -999.0 -999 "2MASX J18025452+6915258" 270.7271666666667 69.25716666666666 -999 -999.0 -999.0
186 Candidate 12.027416666666666 -78.59994444444445 0.01408 -999 "ESO -013-G02, ESO 13-G2" -999.0 -999.0 9 -999.0 -999.0
187 Candidate 219.311375 38.456833333333336 0.012272 host "NGC 5698" -999.0 -999.0 0 -999.0 -999.0
188 Candidate 124.78887499999999 -67.50455555555556 0.023746 host "ESO -89-0G17, ESO 89-G17" -999.0 -999.0 9 -999.0 -999.0
189 Candidate 122.30725 16.98825 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
190 Candidate 120.84545833333331 8.198305555555557 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
191 Candidate 181.94833333333332 20.195833333333333 -999.0 -999 "SDSS J120747.47+201146.6" 181.94779166666663 20.196277777777777 -999 19.81039 nan
192 Candidate 186.38804166666665 22.353055555555557 -999.0 -999 "SDSS J122533.08+222109.1" 186.3878333333333 22.35252777777778 -999 19.00456 nan
193 Candidate 151.95895833333333 34.317797222222225 -999.0 -999 "IC 2542" -999.0 -999.0 -999 -999.0 -999.0
